time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/approx_kl,train/entropy_loss,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_fraction,train/clip_range,train/learning_rate,eval/mean_reward,eval/mean_ep_length
57,1072,30,61440,0.0012290418,-0.47633402049541473,0.26651067,290,1.615127944946289,-0.0011920876218937337,0.7999681830406189,0.0001953125,0.2,0.0003,,
,,,62500,0.0022724895,-0.46684341728687284,0.27735204,300,1.7475354552268982,-0.00043367499019950626,0.8712378740310669,0.000537109375,0.2,0.0003,2.34198097884655,43.0
59,1069,31,63488,,,,,,,,,,,,
61,1069,32,65536,0.00037365695,-0.4427283197641373,0.23872864,310,1.9845072865486144,-6.307319272309541e-05,0.9837815165519714,0.0,0.2,0.0003,,
63,1068,33,67584,8.538831e-05,-0.44206115007400515,0.27777457,320,1.8091866016387939,-1.9408902153372766e-05,0.9026985168457031,0.0,0.2,0.0003,,
65,1069,34,69632,0.00024100929,-0.4501820832490921,0.2639597,330,1.9956556916236878,-7.056582253426314e-05,0.9886804223060608,0.0,0.2,0.0003,,
67,1069,35,71680,0.0002955543,-0.449377116560936,0.28425932,340,2.035344457626343,-0.0003700805478729308,1.0151379108428955,0.0,0.2,0.0003,,
68,1071,36,73728,0.00086788775,-0.43845424354076384,0.29269964,350,1.9949735283851624,-0.0008650657953694462,0.9934532642364502,0.00068359375,0.2,0.0003,,
,,,75000,0.0019010057,-0.4132800906896591,0.28702825,360,2.0780147552490233,-0.0009937887778505683,1.0328079462051392,0.00166015625,0.2,0.0003,2.34198097884655,43.0
71,1066,37,75776,,,,,,,,,,,,
73,1063,38,77824,0.00076498336,-0.3960505723953247,0.300416,370,2.0789534568786623,-0.00020795135060325265,1.0377585887908936,0.0,0.2,0.0003,,
75,1064,39,79872,0.00052753475,-0.39068777561187745,0.29769617,380,2.1493396282196047,-0.0002981057856231928,1.072860598564148,0.0,0.2,0.0003,,
76,1064,40,81920,0.00046606548,-0.37349026203155516,0.30949712,390,1.9971255660057068,-0.00028106337413191795,0.9927933812141418,0.0,0.2,0.0003,,
78,1066,41,83968,0.0019206058,-0.36134618818759917,0.30701768,400,2.259404921531677,-0.0012087584822438658,1.1259104013442993,0.0005859375,0.2,0.0003,,
80,1067,42,86016,0.0014006826,-0.3476311355829239,0.3062867,410,2.235182547569275,-0.0002508381265215576,1.116038203239441,0.00078125,0.2,0.0003,,
,,,87500,0.001609952,-0.3206303656101227,0.31327927,420,2.098740816116333,-0.0009445297298952937,1.045415997505188,0.003662109375,0.2,0.0003,2.34198097884655,43.0
82,1066,43,88064,,,,,,,,,,,,
84,1066,44,90112,0.0013887492,-0.30465892255306243,0.30124116,430,2.4368911504745485,-0.0008646826259791851,1.2151046991348267,0.002392578125,0.2,0.0003,,
86,1067,45,92160,0.001978463,-0.29481512904167173,0.30141425,440,2.459577202796936,-0.0011942512821406126,1.2270710468292236,0.007177734375,0.2,0.0003,,
88,1067,46,94208,0.00086224615,-0.28164823055267335,0.30384523,450,2.5512193918228148,-0.0006918674567714334,1.2732164859771729,4.8828125e-05,0.2,0.0003,,
90,1068,47,96256,0.00081331027,-0.27391926646232606,0.30740058,460,2.658264636993408,-0.00031666459981352093,1.326904296875,0.0,0.2,0.0003,,
91,1069,48,98304,0.00028152342,-0.2731316715478897,0.2971288,470,2.6551010847091674,-0.0001637392328120768,1.3257899284362793,0.0,0.2,0.0003,,
,,,100000,0.0007770736,-0.26663312315940857,0.30062652,480,2.683452582359314,-0.0012672719778493047,1.3380383253097534,0.0017578125,0.2,0.0003,1.6776815205812454,43.0
93,1068,49,100352,,,,,,,,,,,,
95,1068,50,102400,0.00054264406,-0.2550746530294418,0.30519062,490,2.575808811187744,-0.00016674865037202835,1.2872408628463745,0.001123046875,0.2,0.0003,,
97,1068,51,104448,0.00024970013,-0.24255730211734772,0.30868852,500,2.2815729141235352,-0.0005157188163138926,1.1387706995010376,0.0,0.2,0.0003,,
99,1069,52,106496,0.00041749692,-0.24148038774728775,0.31783485,510,2.3231343746185305,-0.00040289161261171104,1.159998893737793,0.000732421875,0.2,0.0003,,
101,1070,53,108544,0.00042779892,-0.25305067002773285,0.30524904,520,2.4752015829086305,-0.0006148094427771867,1.2351151704788208,0.001025390625,0.2,0.0003,,
103,1070,54,110592,0.0003277805,-0.24551296830177308,0.32091403,530,2.4276638507843016,-0.00018537812866270542,1.2129380702972412,0.000341796875,0.2,0.0003,,
,,,112500,6.9657865e-05,-0.24164537340402603,0.3054151,540,2.60603187084198,-0.0001534238224849105,1.3017252683639526,0.0,0.2,0.0003,2.34198097884655,43.0
105,1070,55,112640,,,,,,,,,,,,
107,1070,56,114688,0.00018600433,-0.23973130583763122,0.31399035,550,2.4307060718536375,-0.0002526484953705221,1.2101458311080933,0.0,0.2,0.0003,,
109,1070,57,116736,2.398889e-05,-0.23230239748954773,0.3272692,560,2.4515496492385864,7.018098840489983e-05,1.2255109548568726,0.0,0.2,0.0003,,
110,1070,58,118784,0.0001499799,-0.23319347500801085,0.31054258,570,2.7324291944503782,-0.0002418481046333909,1.364928126335144,0.0,0.2,0.0003,,
112,1071,59,120832,0.00050831074,-0.2249358266592026,0.3147567,580,2.5026318550109865,-0.0005885422229766846,1.2493263483047485,0.000634765625,0.2,0.0003,,
114,1072,60,122880,0.0010135293,-0.21688489317893983,0.3199532,590,2.539509963989258,-0.001071057957597077,1.2665176391601562,0.001904296875,0.2,0.0003,,
116,1072,61,124928,0.00031549134,-0.2159348636865616,0.31870276,600,2.5420370578765867,-0.0002623744076117873,1.269681453704834,4.8828125e-05,0.2,0.0003,,
,,,125000,0.00015090514,-0.2065378189086914,0.30881125,610,2.461937141418457,6.942208856344222e-05,1.230154037475586,0.0,0.2,0.0003,2.34198097884655,43.0
118,1071,62,126976,,,,,,,,,,,,
120,1071,63,129024,0.00021228284,-0.20198675841093064,0.32249945,620,2.4301241397857667,-0.0003430499695241451,1.2139396667480469,0.0,0.2,0.0003,,
122,1072,64,131072,0.00012659727,-0.1999532014131546,0.31812036,630,2.4224078178405763,-0.00014790119603276254,1.2095149755477905,0.0,0.2,0.0003,,
124,1072,65,133120,0.000699257,-0.20202819257974625,0.33889335,640,2.3408114433288576,-0.001048423012252897,1.1669869422912598,0.00107421875,0.2,0.0003,,
126,1072,66,135168,0.00021044922,-0.20903725922107697,0.3196332,650,2.588753652572632,0.0002715856535360217,1.2944552898406982,0.0,0.2,0.0003,,
127,1072,67,137216,0.00015268318,-0.21403975933790206,0.32159102,660,2.39083194732666,-0.00033008308382704855,1.193949818611145,0.0,0.2,0.0003,,
,,,137500,0.000190669,-0.22228338718414306,0.31867117,670,2.604935383796692,-0.0001366704236716032,1.3014957904815674,0.000537109375,0.2,0.0003,1.6776815205812454,43.0
129,1071,68,139264,,,,,,,,,,,,
131,1071,69,141312,0.00013425606,-0.23328005373477936,0.32103992,680,2.5651020288467405,-0.0003107889322564006,1.2813482284545898,0.0,0.2,0.0003,,
134,1069,70,143360,0.0003420938,-0.23667146563529967,0.30708528,690,2.5881667852401735,-0.0003381807706318796,1.292848825454712,0.0,0.2,0.0003,,
135,1070,71,145408,0.0009895639,-0.23144464641809465,0.31936318,700,2.4847522258758543,-0.0009079906390979886,1.2391151189804077,0.00078125,0.2,0.0003,,
137,1070,72,147456,0.0008663505,-0.23422253727912903,0.30911297,710,2.5877485513687133,-0.0003612020635046065,1.2916679382324219,0.00341796875,0.2,0.0003,,
139,1070,73,149504,9.418995e-05,-0.233465576171875,0.30612934,720,2.5238452672958376,-0.0001441338215954602,1.260915994644165,0.0,0.2,0.0003,,
,,,150000,0.0004131254,-0.22722378075122834,0.324566,730,2.4543363571166994,-0.00023983700666576623,1.226021647453308,0.0,0.2,0.0003,2.34198097884655,43.0
141,1070,74,151552,,,,,,,,,,,,
143,1070,75,153600,0.00031076738,-0.22098595947027205,0.32562464,740,2.3550536155700685,-0.00031217215582728385,1.1761513948440552,0.0,0.2,0.0003,,
145,1071,76,155648,0.00036215078,-0.21299443989992142,0.32317668,750,2.5421019792556763,-0.0002513083163648844,1.2700965404510498,0.0,0.2,0.0003,,
147,1071,77,157696,0.000117068936,-0.21072524040937424,0.3238315,760,2.6187338829040527,-0.000153482798486948,1.3083587884902954,0.0,0.2,0.0003,,
149,1071,78,159744,8.1693695e-05,-0.20894851982593537,0.31823504,770,2.576089954376221,-8.745053200982511e-05,1.287397027015686,0.0,0.2,0.0003,,
150,1072,79,161792,0.00017694556,-0.20930837094783783,0.34172022,780,2.369724726676941,-0.00031821673037484287,1.1835038661956787,4.8828125e-05,0.2,0.0003,,
,,,162500,0.00026517815,-0.21170982271432875,0.32558578,790,2.5934144973754885,-0.00029564148280769587,1.2955886125564575,0.0,0.2,0.0003,1.6776815205812454,43.0
152,1071,80,163840,,,,,,,,,,,,
154,1071,81,165888,0.00049990416,-0.2071960374712944,0.3174969,800,2.5286189556121825,-0.0006585951079614461,1.2626060247421265,0.00078125,0.2,0.0003,,
156,1072,82,167936,7.938931e-05,-0.2054904580116272,0.32895774,810,2.5284526348114014,7.775691337883473e-05,1.263944387435913,0.0,0.2,0.0003,,
158,1072,83,169984,0.0006061532,-0.20582421422004699,0.31742436,820,2.5238892316818236,-0.0010951919481158256,1.259032964706421,0.00068359375,0.2,0.0003,,
160,1072,84,172032,0.0006377272,-0.19117030948400499,0.33747274,830,2.3652944803237914,-0.0004540713154710829,1.1814712285995483,0.000732421875,0.2,0.0003,,
162,1073,85,174080,0.0004247168,-0.18168562054634094,0.32091683,840,2.620796728134155,-0.0007070470019243658,1.3083850145339966,0.00029296875,0.2,0.0003,,
,,,175000,0.000107767555,-0.1740042597055435,0.33045334,850,2.366210913658142,-0.00010856789303943515,1.1794509887695312,0.0,0.2,0.0003,2.34198097884655,43.0
164,1072,86,176128,,,,,,,,,,,,
